nominees,details,award_show,year,award,winner,ref_year
Enlightened,,Golden Globes,2012,Best Television Series - Comedy or Musical,0,9
Episodes,,Golden Globes,2012,Best Television Series - Comedy or Musical,0,9
Glee,,Golden Globes,2012,Best Television Series - Comedy or Musical,0,9
New Girl,,Golden Globes,2012,Best Television Series - Comedy or Musical,0,9
Kelsey Grammer,Boss,Golden Globes,2012,Best Performance by an Actor in a Television Series - Drama,1,9
Bryan Cranston,Breaking Bad,Golden Globes,2012,Best Performance by an Actor in a Television Series - Drama,0,9
Damian Lewis,Homeland,Golden Globes,2012,Best Performance by an Actor in a Television Series - Drama,0,9
Jeremy Irons,The Borgias,Golden Globes,2012,Best Performance by an Actor in a Television Series - Drama,0,9
Steve Buscemi,Boardwalk Empire,Golden Globes,2012,Best Performance by an Actor in a Television Series - Drama,0,9
Claire Danes,Homeland,Golden Globes,2012,Best Performance by an Actress in a Television Series - Drama,1,9
Callie Thorne,Necessary Roughness,Golden Globes,2012,Best Performance by an Actress in a Television Series - Drama,0,9
Julianna Margulies,The Good Wife,Golden Globes,2012,Best Performance by an Actress in a Television Series - Drama,0,9
Madeleine Stowe,Revenge,Golden Globes,2012,Best Performance by an Actress in a Television Series - Drama,0,9
Mireille Enos,The Killing,Golden Globes,2012,Best Performance by an Actress in a Television Series - Drama,0,9
Matt LeBlanc,Episodes,Golden Globes,2012,Best Performance by an Actor in a Television Series - Comedy or Musical,1,9
Alec Baldwin,30 Rock,Golden Globes,2012,Best Performance by an Actor in a Television Series - Comedy or Musical,0,9
David Duchovny,Californication,Golden Globes,2012,Best Performance by an Actor in a Television Series - Comedy or Musical,0,9
Johnny Galecki,The Big Bang Theory,Golden Globes,2012,Best Performance by an Actor in a Television Series - Comedy or Musical,0,9
Thomas Jane,Hung,Golden Globes,2012,Best Performance by an Actor in a Television Series - Comedy or Musical,0,9
Laura Dern,Enlightened,Golden Globes,2012,Best Performance by an Actress in a Television Series - Comedy or Musical,1,9
Amy Poehler,Parks and Recreation,Golden Globes,2012,Best Performance by an Actress in a Television Series - Comedy or Musical,0,9
Laura Linney,The Big C,Golden Globes,2012,Best Performance by an Actress in a Television Series - Comedy or Musical,0,9
Tina Fey,30 Rock,Golden Globes,2012,Best Performance by an Actress in a Television Series - Comedy or Musical,0,9
Zooey Deschanel,New Girl,Golden Globes,2012,Best Performance by an Actress in a Television Series - Comedy or Musical,0,9
Peter Dinklage,Game of Thrones,Golden Globes,2012,"Best Performance by an Actor in a Supporting Role in a Series, Miniseries or Motion Picture Made for Television",1,9
Eric Stonestreet,Modern Family,Golden Globes,2012,"Best Performance by an Actor in a Supporting Role in a Series, Miniseries or Motion Picture Made for Television",0,9
Guy Pearce,Mildred Pierce,Golden Globes,2012,"Best Performance by an Actor in a Supporting Role in a Series, Miniseries or Motion Picture Made for Television",0,9
Paul Giamatti,Too Big to Fail,Golden Globes,2012,"Best Performance by an Actor in a Supporting Role in a Series, Miniseries or Motion Picture Made for Television",0,9
Tim Robbins,Cinema Verite,Golden Globes,2012,"Best Performance by an Actor in a Supporting Role in a Series, Miniseries or Motion Picture Made for Television",0,9
Jessica Lange,American Horror Story,Golden Globes,2012,"Best Performance by an Actress in a Supporting Role in a Series, Miniseries or Motion Picture Made for Television",1,9
Evan Rachel Wood,Mildred Pierce,Golden Globes,2012,"Best Performance by an Actress in a Supporting Role in a Series, Miniseries or Motion Picture Made for Television",0,9
Kelly Macdonald,Boardwalk Empire,Golden Globes,2012,"Best Performance by an Actress in a Supporting Role in a Series, Miniseries or Motion Picture Made for Television",0,9
Maggie Smith,Downton Abbey,Golden Globes,2012,"Best Performance by an Actress in a Supporting Role in a Series, Miniseries or Motion Picture Made for Television",0,9
Sofía Vergara,Modern Family,Golden Globes,2012,"Best Performance by an Actress in a Supporting Role in a Series, Miniseries or Motion Picture Made for Television",0,9
Idris Elba,Luther,Golden Globes,2012,Best Performance by an Actor in a Miniseries or Motion Picture Made for Television,1,9
Bill Nighy,Page Eight,Golden Globes,2012,Best Performance by an Actor in a Miniseries or Motion Picture Made for Television,0,9
Dominic West,The Hour,Golden Globes,2012,Best Performance by an Actor in a Miniseries or Motion Picture Made for Television,0,9
Hugh Bonneville,Downton Abbey,Golden Globes,2012,Best Performance by an Actor in a Miniseries or Motion Picture Made for Television,0,9
William Hurt,Too Big to Fail,Golden Globes,2012,Best Performance by an Actor in a Miniseries or Motion Picture Made for Television,0,9
Kate Winslet,Mildred Pierce,Golden Globes,2012,Best Performance by an Actress in a Miniseries or Motion Picture Made for Television,1,9
Diane Lane,Cinema Verite,Golden Globes,2012,Best Performance by an Actress in a Miniseries or Motion Picture Made for Television,0,9
Elizabeth McGovern,Downton Abbey,Golden Globes,2012,Best Performance by an Actress in a Miniseries or Motion Picture Made for Television,0,9
Emily Watson,Appropriate Adult,Golden Globes,2012,Best Performance by an Actress in a Miniseries or Motion Picture Made for Television,0,9
Romola Garai,The Hour,Golden Globes,2012,Best Performance by an Actress in a Miniseries or Motion Picture Made for Television,0,9
The Adventures of Tintin,,Golden Globes,2012,Best Animated Feature Film,1,9
Arthur Christmas,,Golden Globes,2012,Best Animated Feature Film,0,9
Cars 2,,Golden Globes,2012,Best Animated Feature Film,0,9
Puss in Boots,,Golden Globes,2012,Best Animated Feature Film,0,9
Rango,,Golden Globes,2012,Best Animated Feature Film,0,9
A Separation,,Golden Globes,2012,Best Foreign Language Film,1,9
In the Land of Blood and Honey,,Golden Globes,2012,Best Foreign Language Film,0,9
The Flowers of War,,Golden Globes,2012,Best Foreign Language Film,0,9
The Kid with a Bike,,Golden Globes,2012,Best Foreign Language Film,0,9
The Skin I Live In,,Golden Globes,2012,Best Foreign Language Film,0,9
Downton Abbey,,Golden Globes,2012,Best Miniseries or Motion Picture Made for Television,1,9
Cinema Verite,,Golden Globes,2012,Best Miniseries or Motion Picture Made for Television,0,9
Mildred Pierce,,Golden Globes,2012,Best Miniseries or Motion Picture Made for Television,0,9
The Hour,,Golden Globes,2012,Best Miniseries or Motion Picture Made for Television,0,9
Too Big to Fail,,Golden Globes,2012,Best Miniseries or Motion Picture Made for Television,0,9
The Social Network,,Golden Globes,2011,Best Motion Picture - Drama,1,10
Black Swan,,Golden Globes,2011,Best Motion Picture - Drama,0,10
Inception,,Golden Globes,2011,Best Motion Picture - Drama,0,10
The Fighter,,Golden Globes,2011,Best Motion Picture - Drama,0,10
The King's Speech,,Golden Globes,2011,Best Motion Picture - Drama,0,10
The Kids Are All Right,,Golden Globes,2011,Best Motion Picture - Comedy or Musical,1,10
Alice in Wonderland,,Golden Globes,2011,Best Motion Picture - Comedy or Musical,0,10
Burlesque,,Golden Globes,2011,Best Motion Picture - Comedy or Musical,0,10
RED,,Golden Globes,2011,Best Motion Picture - Comedy or Musical,0,10
The Tourist,,Golden Globes,2011,Best Motion Picture - Comedy or Musical,0,10
Colin Firth,The King's Speech,Golden Globes,2011,Best Performance by an Actor in a Motion Picture - Drama,1,10
James Franco,127 Hours,Golden Globes,2011,Best Performance by an Actor in a Motion Picture - Drama,0,10
Jesse Eisenberg,The Social Network,Golden Globes,2011,Best Performance by an Actor in a Motion Picture - Drama,0,10
Mark Wahlberg,The Fighter,Golden Globes,2011,Best Performance by an Actor in a Motion Picture - Drama,0,10
Ryan Gosling,Blue Valentine,Golden Globes,2011,Best Performance by an Actor in a Motion Picture - Drama,0,10
Natalie Portman,Black Swan,Golden Globes,2011,Best Performance by an Actress in a Motion Picture - Drama,1,10
Halle Berry,Frankie & Alice,Golden Globes,2011,Best Performance by an Actress in a Motion Picture - Drama,0,10
Jennifer Lawrence,Winter's Bone,Golden Globes,2011,Best Performance by an Actress in a Motion Picture - Drama,0,10
Michelle Williams,Blue Valentine,Golden Globes,2011,Best Performance by an Actress in a Motion Picture - Drama,0,10
Nicole Kidman,Rabbit Hole,Golden Globes,2011,Best Performance by an Actress in a Motion Picture - Drama,0,10
Paul Giamatti,Barney's Version,Golden Globes,2011,Best Performance by an Actor in a Motion Picture - Comedy or Musical,1,10
Jake Gyllenhaal,Love & Other Drugs,Golden Globes,2011,Best Performance by an Actor in a Motion Picture - Comedy or Musical,0,10
Johnny Depp,Alice in Wonderland,Golden Globes,2011,Best Performance by an Actor in a Motion Picture - Comedy or Musical,0,10
Johnny Depp,The Tourist,Golden Globes,2011,Best Performance by an Actor in a Motion Picture - Comedy or Musical,0,10
Kevin Spacey,Casino Jack,Golden Globes,2011,Best Performance by an Actor in a Motion Picture - Comedy or Musical,0,10
Annette Bening,The Kids Are All Right,Golden Globes,2011,Best Performance by an Actress in a Motion Picture - Comedy or Musical,1,10
Angelina Jolie,The Tourist,Golden Globes,2011,Best Performance by an Actress in a Motion Picture - Comedy or Musical,0,10
Anne Hathaway,Love & Other Drugs,Golden Globes,2011,Best Performance by an Actress in a Motion Picture - Comedy or Musical,0,10
Emma Stone,Easy A,Golden Globes,2011,Best Performance by an Actress in a Motion Picture - Comedy or Musical,0,10
Julianne Moore,The Kids Are All Right,Golden Globes,2011,Best Performance by an Actress in a Motion Picture - Comedy or Musical,0,10
Christian Bale,The Fighter,Golden Globes,2011,Best Performance by an Actor in a Supporting Role in a Motion Picture,1,10
Andrew Garfield,The Social Network,Golden Globes,2011,Best Performance by an Actor in a Supporting Role in a Motion Picture,0,10
Geoffrey Rush,The King's Speech,Golden Globes,2011,Best Performance by an Actor in a Supporting Role in a Motion Picture,0,10
Jeremy Renner,The Town,Golden Globes,2011,Best Performance by an Actor in a Supporting Role in a Motion Picture,0,10
Michael Douglas,Wall Street: Money Never Sleeps,Golden Globes,2011,Best Performance by an Actor in a Supporting Role in a Motion Picture,0,10
Melissa Leo,The Fighter,Golden Globes,2011,Best Performance by an Actress in a Supporting Role in a Motion Picture,1,10
Amy Adams,The Fighter,Golden Globes,2011,Best Performance by an Actress in a Supporting Role in a Motion Picture,0,10
Helena Bonham Carter,The King's Speech,Golden Globes,2011,Best Performance by an Actress in a Supporting Role in a Motion Picture,0,10
Jacki Weaver,Animal Kingdom,Golden Globes,2011,Best Performance by an Actress in a Supporting Role in a Motion Picture,0,10
Mila Kunis,Black Swan,Golden Globes,2011,Best Performance by an Actress in a Supporting Role in a Motion Picture,0,10
David Fincher,The Social Network,Golden Globes,2011,Best Director - Motion Picture,1,10
Christopher Nolan,Inception,Golden Globes,2011,Best Director - Motion Picture,0,10
Darren Aronofsky,Black Swan,Golden Globes,2011,Best Director - Motion Picture,0,10
David O. Russell,The Fighter,Golden Globes,2011,Best Director - Motion Picture,0,10
Tom Hooper,The King's Speech,Golden Globes,2011,Best Director - Motion Picture,0,10
The Social Network,Aaron Sorkin,Golden Globes,2011,Best Screenplay - Motion Picture,1,10
127 Hours,"Danny Boyle, Simon Beaufoy",Golden Globes,2011,Best Screenplay - Motion Picture,0,10
Inception,Christopher Nolan,Golden Globes,2011,Best Screenplay - Motion Picture,0,10
The Kids Are All Right,"Stuart Blumberg, Lisa Cholodenko",Golden Globes,2011,Best Screenplay - Motion Picture,0,10
The King's Speech,David Seidler,Golden Globes,2011,Best Screenplay - Motion Picture,0,10
Burlesque,Diane Warren,Golden Globes,2011,Best Original Song - Motion Picture,1,10
Burlesque,"Christina Aguilera (Lyrics), Sia (Lyrics), Samuel Dixon (Music)",Golden Globes,2011,Best Original Song - Motion Picture,0,10
Country Strong,"Bob DiPiero (music and lyrics), Tom Douglas (music and lyrics), Hillary Lindsey (music and lyrics), Troy Verges (music and lyrics)",Golden Globes,2011,Best Original Song - Motion Picture,0,10
Tangled,"Alan Menken (music), Glenn Slater (lyrics)",Golden Globes,2011,Best Original Song - Motion Picture,0,10
The Chronicles of Narnia: The Voyage of the Dawn Treader,"David Hodges (Music & Lyrics), Carrie Underwood (Music & Lyrics), Hillary Lindsey (Music & Lyrics)",Golden Globes,2011,Best Original Song - Motion Picture,0,10
The Social Network,"Trent Reznor, Atticus Ross",Golden Globes,2011,Best Original Score - Motion Picture,1,10
127 Hours,A.R. Rahman,Golden Globes,2011,Best Original Score - Motion Picture,0,10
Alice in Wonderland,Danny Elfman,Golden Globes,2011,Best Original Score - Motion Picture,0,10
Inception,Hans Zimmer,Golden Globes,2011,Best Original Score - Motion Picture,0,10
The King's Speech,Alexandre Desplat,Golden Globes,2011,Best Original Score - Motion Picture,0,10
Boardwalk Empire,,Golden Globes,2011,Best Television Series - Drama,1,10
Dexter,,Golden Globes,2011,Best Television Series - Drama,0,10
Mad Men,,Golden Globes,2011,Best Television Series - Drama,0,10
The Good Wife,,Golden Globes,2011,Best Television Series - Drama,0,10
The Walking Dead,,Golden Globes,2011,Best Television Series - Drama,0,10
Glee,,Golden Globes,2011,Best Television Series - Comedy or Musical,1,10
30 Rock,,Golden Globes,2011,Best Television Series - Comedy or Musical,0,10
Modern Family,,Golden Globes,2011,Best Television Series - Comedy or Musical,0,10
Nurse Jackie,,Golden Globes,2011,Best Television Series - Comedy or Musical,0,10
The Big Bang Theory,,Golden Globes,2011,Best Television Series - Comedy or Musical,0,10
The Big C,,Golden Globes,2011,Best Television Series - Comedy or Musical,0,10
Steve Buscemi,Boardwalk Empire,Golden Globes,2011,Best Performance by an Actor in a Television Series - Drama,1,10
Bryan Cranston,Breaking Bad,Golden Globes,2011,Best Performance by an Actor in a Television Series - Drama,0,10
Hugh Laurie,House,Golden Globes,2011,Best Performance by an Actor in a Television Series - Drama,0,10
Jon Hamm,Mad Men,Golden Globes,2011,Best Performance by an Actor in a Television Series - Drama,0,10
Michael C. Hall,Dexter,Golden Globes,2011,Best Performance by an Actor in a Television Series - Drama,0,10
Katey Sagal,Sons of Anarchy,Golden Globes,2011,Best Performance by an Actress in a Television Series - Drama,1,10
Elisabeth Moss,Mad Men,Golden Globes,2011,Best Performance by an Actress in a Television Series - Drama,0,10
Julianna Margulies,The Good Wife,Golden Globes,2011,Best Performance by an Actress in a Television Series - Drama,0,10
Kyra Sedgwick,The Closer,Golden Globes,2011,Best Performance by an Actress in a Television Series - Drama,0,10
Piper Perabo,Covert Affairs,Golden Globes,2011,Best Performance by an Actress in a Television Series - Drama,0,10
Jim Parsons,The Big Bang Theory,Golden Globes,2011,Best Performance by an Actor in a Television Series - Comedy or Musical,1,10
Alec Baldwin,30 Rock,Golden Globes,2011,Best Performance by an Actor in a Television Series - Comedy or Musical,0,10
Matthew Morrison,Glee,Golden Globes,2011,Best Performance by an Actor in a Television Series - Comedy or Musical,0,10
Steve Carell,The Office,Golden Globes,2011,Best Performance by an Actor in a Television Series - Comedy or Musical,0,10
Thomas Jane,Hung,Golden Globes,2011,Best Performance by an Actor in a Television Series - Comedy or Musical,0,10
Laura Linney,The Big C,Golden Globes,2011,Best Performance by an Actress in a Television Series - Comedy or Musical,1,10
Edie Falco,Nurse Jackie,Golden Globes,2011,Best Performance by an Actress in a Television Series - Comedy or Musical,0,10
Lea Michele,Glee,Golden Globes,2011,Best Performance by an Actress in a Television Series - Comedy or Musical,0,10
Tina Fey,30 Rock,Golden Globes,2011,Best Performance by an Actress in a Television Series - Comedy or Musical,0,10
Toni Collette,United States of Tara,Golden Globes,2011,Best Performance by an Actress in a Television Series - Comedy or Musical,0,10
Chris Colfer,Glee,Golden Globes,2011,"Best Performance by an Actor in a Supporting Role in a Series, Miniseries or Motion Picture Made for Television",1,10
Chris Noth,The Good Wife,Golden Globes,2011,"Best Performance by an Actor in a Supporting Role in a Series, Miniseries or Motion Picture Made for Television",0,10
David Strathairn,Temple Grandin,Golden Globes,2011,"Best Performance by an Actor in a Supporting Role in a Series, Miniseries or Motion Picture Made for Television",0,10
Eric Stonestreet,Modern Family,Golden Globes,2011,"Best Performance by an Actor in a Supporting Role in a Series, Miniseries or Motion Picture Made for Television",0,10
Scott Caan,Hawaii Five-0,Golden Globes,2011,"Best Performance by an Actor in a Supporting Role in a Series, Miniseries or Motion Picture Made for Television",0,10
Jane Lynch,Glee,Golden Globes,2011,"Best Performance by an Actress in a Supporting Role in a Series, Miniseries or Motion Picture Made for Television",1,10
Hope Davis,The Special Relationship,Golden Globes,2011,"Best Performance by an Actress in a Supporting Role in a Series, Miniseries or Motion Picture Made for Television",0,10
Julia Stiles,Dexter,Golden Globes,2011,"Best Performance by an Actress in a Supporting Role in a Series, Miniseries or Motion Picture Made for Television",0,10
Kelly Macdonald,Boardwalk Empire,Golden Globes,2011,"Best Performance by an Actress in a Supporting Role in a Series, Miniseries or Motion Picture Made for Television",0,10
Sofía Vergara,Modern Family,Golden Globes,2011,"Best Performance by an Actress in a Supporting Role in a Series, Miniseries or Motion Picture Made for Television",0,10
Al Pacino,You Don't Know Jack,Golden Globes,2011,Best Performance by an Actor in a Miniseries or Motion Picture Made for Television,1,10
Dennis Quaid,The Special Relationship,Golden Globes,2011,Best Performance by an Actor in a Miniseries or Motion Picture Made for Television,0,10
Edgar Ramírez,Carlos,Golden Globes,2011,Best Performance by an Actor in a Miniseries or Motion Picture Made for Television,0,10
Ian McShane,The Pillars of the Earth,Golden Globes,2011,Best Performance by an Actor in a Miniseries or Motion Picture Made for Television,0,10
Idris Elba,Luther,Golden Globes,2011,Best Performance by an Actor in a Miniseries or Motion Picture Made for Television,0,10
Claire Danes,Temple Grandin,Golden Globes,2011,Best Performance by an Actress in a Miniseries or a Motion Picture Made for Television,1,10
Hayley Atwell,The Pillars of the Earth,Golden Globes,2011,Best Performance by an Actress in a Miniseries or a Motion Picture Made for Television,0,10
Jennifer Love Hewitt,The Client List,Golden Globes,2011,Best Performance by an Actress in a Miniseries or a Motion Picture Made for Television,0,10
Judi Dench,Cranford,Golden Globes,2011,Best Performance by an Actress in a Miniseries or a Motion Picture Made for Television,0,10
Romola Garai,Emma,Golden Globes,2011,Best Performance by an Actress in a Miniseries or a Motion Picture Made for Television,0,10
Toy Story 3,,Golden Globes,2011,Best Animated Film,1,10
Despicable Me,,Golden Globes,2011,Best Animated Film,0,10
How to Train Your Dragon,,Golden Globes,2011,Best Animated Film,0,10
Tangled,,Golden Globes,2011,Best Animated Film,0,10
The Illusionist,,Golden Globes,2011,Best Animated Film,0,10
In a Better World,,Golden Globes,2011,Best Foreign Language Film,1,10
Biutiful,,Golden Globes,2011,Best Foreign Language Film,0,10
I Am Love,,Golden Globes,2011,Best Foreign Language Film,0,10
Kray,,Golden Globes,2011,Best Foreign Language Film,0,10
The Concert,,Golden Globes,2011,Best Foreign Language Film,0,10
Carlos,,Golden Globes,2011,Best Miniseries or Motion Picture Made for Television,1,10
Temple Grandin,,Golden Globes,2011,Best Miniseries or Motion Picture Made for Television,0,10
The Pacific,,Golden Globes,2011,Best Miniseries or Motion Picture Made for Television,0,10
The Pillars of the Earth,,Golden Globes,2011,Best Miniseries or Motion Picture Made for Television,0,10
You Don't Know Jack,,Golden Globes,2011,Best Miniseries or Motion Picture Made for Television,0,10
You Don't Know Jack,,Golden Globes,2011,Best Television Limited Series or Motion Picture Made for Television,1,10
Avatar,,Golden Globes,2010,Best Motion Picture - Drama,1,11
Inglourious Basterds,,Golden Globes,2010,Best Motion Picture - Drama,0,11
Precious,,Golden Globes,2010,Best Motion Picture - Drama,0,11
The Hurt Locker,,Golden Globes,2010,Best Motion Picture - Drama,0,11
Up in the Air,,Golden Globes,2010,Best Motion Picture - Drama,0,11
The Hangover,,Golden Globes,2010,Best Motion Picture - Comedy or Musical,1,11
500 Days of Summer,,Golden Globes,2010,Best Motion Picture - Comedy or Musical,0,11
It's Complicated,,Golden Globes,2010,Best Motion Picture - Comedy or Musical,0,11
Julie & Julia,,Golden Globes,2010,Best Motion Picture - Comedy or Musical,0,11
Nine,,Golden Globes,2010,Best Motion Picture - Comedy or Musical,0,11
Jeff Bridges,Crazy Heart,Golden Globes,2010,Best Performance by an Actor in a Motion Picture - Drama,1,11
Colin Firth,A Single Man,Golden Globes,2010,Best Performance by an Actor in a Motion Picture - Drama,0,11
George Clooney,Up in the Air,Golden Globes,2010,Best Performance by an Actor in a Motion Picture - Drama,0,11
Morgan Freeman,Invictus,Golden Globes,2010,Best Performance by an Actor in a Motion Picture - Drama,0,11
Tobey Maguire,Brothers,Golden Globes,2010,Best Performance by an Actor in a Motion Picture - Drama,0,11
Sandra Bullock,The Blind Side,Golden Globes,2010,Best Performance by an Actress in a Motion Picture - Drama,1,11
Carey Mulligan,An Education,Golden Globes,2010,Best Performance by an Actress in a Motion Picture - Drama,0,11
Emily Blunt,The Young Victoria,Golden Globes,2010,Best Performance by an Actress in a Motion Picture - Drama,0,11
Gabourey Sidibe,Precious,Golden Globes,2010,Best Performance by an Actress in a Motion Picture - Drama,0,11
Helen Mirren,The Last Station,Golden Globes,2010,Best Performance by an Actress in a Motion Picture - Drama,0,11
Robert Downey Jr.,Sherlock Holmes,Golden Globes,2010,Best Performance by an Actor in a Motion Picture - Comedy or Musical,1,11
Daniel Day-Lewis,Nine,Golden Globes,2010,Best Performance by an Actor in a Motion Picture - Comedy or Musical,0,11
Joseph Gordon-Levitt,500 Days of Summer,Golden Globes,2010,Best Performance by an Actor in a Motion Picture - Comedy or Musical,0,11
Matt Damon,The Informant!,Golden Globes,2010,Best Performance by an Actor in a Motion Picture - Comedy or Musical,0,11
Michael Stuhlbarg,A Serious Man,Golden Globes,2010,Best Performance by an Actor in a Motion Picture - Comedy or Musical,0,11
Meryl Streep,Julie & Julia,Golden Globes,2010,Best Performance by an Actress in a Motion Picture - Comedy or Musical,1,11
Julia Roberts,Duplicity,Golden Globes,2010,Best Performance by an Actress in a Motion Picture - Comedy or Musical,0,11
Marion Cotillard,Nine,Golden Globes,2010,Best Performance by an Actress in a Motion Picture - Comedy or Musical,0,11
Meryl Streep,It's Complicated,Golden Globes,2010,Best Performance by an Actress in a Motion Picture - Comedy or Musical,0,11
Sandra Bullock,The Proposal,Golden Globes,2010,Best Performance by an Actress in a Motion Picture - Comedy or Musical,0,11
Christoph Waltz,Inglourious Basterds,Golden Globes,2010,Best Performance by an Actor in a Supporting Role in a Motion Picture,1,11
Christopher Plummer,The Last Station,Golden Globes,2010,Best Performance by an Actor in a Supporting Role in a Motion Picture,0,11
Matt Damon,Invictus,Golden Globes,2010,Best Performance by an Actor in a Supporting Role in a Motion Picture,0,11
Stanley Tucci,The Lovely Bones,Golden Globes,2010,Best Performance by an Actor in a Supporting Role in a Motion Picture,0,11
Woody Harrelson,The Messenger,Golden Globes,2010,Best Performance by an Actor in a Supporting Role in a Motion Picture,0,11
Mo'Nique,Precious,Golden Globes,2010,Best Performance by an Actress in a Supporting Role in a Motion Picture,1,11
Anna Kendrick,Up in the Air,Golden Globes,2010,Best Performance by an Actress in a Supporting Role in a Motion Picture,0,11
Julianne Moore,A Single Man,Golden Globes,2010,Best Performance by an Actress in a Supporting Role in a Motion Picture,0,11
Penélope Cruz,Nine,Golden Globes,2010,Best Performance by an Actress in a Supporting Role in a Motion Picture,0,11
Vera Farmiga,Up in the Air,Golden Globes,2010,Best Performance by an Actress in a Supporting Role in a Motion Picture,0,11
James Cameron,Avatar,Golden Globes,2010,Best Director - Motion Picture,1,11
Clint Eastwood,Invictus,Golden Globes,2010,Best Director - Motion Picture,0,11
Jason Reitman,Up in the Air,Golden Globes,2010,Best Director - Motion Picture,0,11
Kathryn Bigelow,The Hurt Locker,Golden Globes,2010,Best Director - Motion Picture,0,11
Quentin Tarantino,Inglourious Basterds,Golden Globes,2010,Best Director - Motion Picture,0,11
Up in the Air,"Jason Reitman, Sheldon Turner",Golden Globes,2010,Best Screenplay - Motion Picture,1,11
District 9,"Neill Blomkamp, Terri Tatchell",Golden Globes,2010,Best Screenplay - Motion Picture,0,11
Inglourious Basterds,Quentin Tarantino,Golden Globes,2010,Best Screenplay - Motion Picture,0,11
It's Complicated,Nancy Meyers,Golden Globes,2010,Best Screenplay - Motion Picture,0,11
The Hurt Locker,Mark Boal,Golden Globes,2010,Best Screenplay - Motion Picture,0,11
Crazy Heart,"T Bone Burnett, Ryan Bingham",Golden Globes,2010,Best Original Song - Motion Picture,1,11
Avatar,"James Horner, Simon Franglen, Kuk Harrell",Golden Globes,2010,Best Original Song - Motion Picture,0,11
Brothers,"U2, Bono",Golden Globes,2010,Best Original Song - Motion Picture,0,11
Everybody's Fine,Paul McCartney,Golden Globes,2010,Best Original Song - Motion Picture,0,11
Nine,Maury Yeston,Golden Globes,2010,Best Original Song - Motion Picture,0,11
Up,Michael Giacchino,Golden Globes,2010,Best Original Score - Motion Picture,1,11
A Single Man,Abel Korzeniowski,Golden Globes,2010,Best Original Score - Motion Picture,0,11
Avatar,James Horner,Golden Globes,2010,Best Original Score - Motion Picture,0,11
The Informant!,Marvin Hamlisch,Golden Globes,2010,Best Original Score - Motion Picture,0,11
Where the Wild Things Are,"Carter Burwell, Karen O",Golden Globes,2010,Best Original Score - Motion Picture,0,11
Mad Men,,Golden Globes,2010,Best Television Series - Drama,1,11
Big Love,,Golden Globes,2010,Best Television Series - Drama,0,11
Dexter,,Golden Globes,2010,Best Television Series - Drama,0,11
House,,Golden Globes,2010,Best Television Series - Drama,0,11
True Blood,,Golden Globes,2010,Best Television Series - Drama,0,11
Glee,,Golden Globes,2010,Best Television Series - Comedy or Musical,1,11
30 Rock,,Golden Globes,2010,Best Television Series - Comedy or Musical,0,11
Entourage,,Golden Globes,2010,Best Television Series - Comedy or Musical,0,11
Modern Family,,Golden Globes,2010,Best Television Series - Comedy or Musical,0,11
The Office,,Golden Globes,2010,Best Television Series - Comedy or Musical,0,11
Michael C. Hall,Dexter,Golden Globes,2010,Best Performance by an Actor in a Television Series - Drama,1,11
Bill Paxton,Big Love,Golden Globes,2010,Best Performance by an Actor in a Television Series - Drama,0,11
Hugh Laurie,House,Golden Globes,2010,Best Performance by an Actor in a Television Series - Drama,0,11
Jon Hamm,Mad Men,Golden Globes,2010,Best Performance by an Actor in a Television Series - Drama,0,11
Simon Baker,The Mentalist,Golden Globes,2010,Best Performance by an Actor in a Television Series - Drama,0,11
Julianna Margulies,The Good Wife,Golden Globes,2010,Best Performance by an Actress in a Television Series - Drama,1,11
Anna Paquin,True Blood,Golden Globes,2010,Best Performance by an Actress in a Television Series - Drama,0,11
Glenn Close,Damages,Golden Globes,2010,Best Performance by an Actress in a Television Series - Drama,0,11
January Jones,Mad Men,Golden Globes,2010,Best Performance by an Actress in a Television Series - Drama,0,11
Kyra Sedgwick,The Closer,Golden Globes,2010,Best Performance by an Actress in a Television Series - Drama,0,11
Alec Baldwin,30 Rock,Golden Globes,2010,Best Performance by an Actor in a Television Series - Comedy or Musical,1,11
David Duchovny,Californication,Golden Globes,2010,Best Performance by an Actor in a Television Series - Comedy or Musical,0,11
Matthew Morrison,Glee,Golden Globes,2010,Best Performance by an Actor in a Television Series - Comedy or Musical,0,11
Steve Carell,The Office,Golden Globes,2010,Best Performance by an Actor in a Television Series - Comedy or Musical,0,11
Thomas Jane,Hung,Golden Globes,2010,Best Performance by an Actor in a Television Series - Comedy or Musical,0,11
Toni Collette,United States of Tara,Golden Globes,2010,Best Performance by an Actress in a Television Series - Comedy or Musical,1,11
Courteney Cox,Cougar Town,Golden Globes,2010,Best Performance by an Actress in a Television Series - Comedy or Musical,0,11
Edie Falco,Nurse Jackie,Golden Globes,2010,Best Performance by an Actress in a Television Series - Comedy or Musical,0,11
Lea Michele,Glee,Golden Globes,2010,Best Performance by an Actress in a Television Series - Comedy or Musical,0,11
Tina Fey,30 Rock,Golden Globes,2010,Best Performance by an Actress in a Television Series - Comedy or Musical,0,11
John Lithgow,Dexter,Golden Globes,2010,"Best Performance by an Actor in a Supporting Role in a Series, Miniseries or Motion Picture Made for Television",1,11
Jeremy Piven,Entourage,Golden Globes,2010,"Best Performance by an Actor in a Supporting Role in a Series, Miniseries or Motion Picture Made for Television",0,11
Michael Emerson,Lost,Golden Globes,2010,"Best Performance by an Actor in a Supporting Role in a Series, Miniseries or Motion Picture Made for Television",0,11
